image_name,disease,severity,detector_mode,teeth_pixels,delta_abs_mean,delta_abs_max,texture_pixels,summary_path
00001.png,protrusion,0.2,mediapipe_tasks_face_landmarker,415,0.07595835626125336,2.2502334117889404,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\protrusion\severity_0_20\summary.json
00001.png,protrusion,0.5,mediapipe_tasks_face_landmarker,415,0.11697588115930557,3.465359926223755,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\protrusion\severity_0_50\summary.json
00001.png,protrusion,0.8,mediapipe_tasks_face_landmarker,415,0.1871614009141922,5.5445756912231445,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\protrusion\severity_0_80\summary.json
00001.png,protrusion,1.2,mediapipe_tasks_face_landmarker,415,0.2807421088218689,8.316863059997559,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\protrusion\severity_1_20\summary.json
00001.png,openbite,0.2,mediapipe_tasks_face_landmarker,415,0.025680439546704292,1.4605944156646729,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\openbite\severity_0_20\summary.json
00001.png,openbite,0.5,mediapipe_tasks_face_landmarker,415,0.0395478755235672,2.249316453933716,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\openbite\severity_0_50\summary.json
00001.png,openbite,0.8,mediapipe_tasks_face_landmarker,415,0.06327660381793976,3.598905324935913,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\openbite\severity_0_80\summary.json
00001.png,openbite,1.2,mediapipe_tasks_face_landmarker,415,0.09491491317749023,5.3983588218688965,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\openbite\severity_1_20\summary.json
00001.png,spacing,0.2,mediapipe_tasks_face_landmarker,415,0.030793840065598488,2.3289778232574463,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\spacing\severity_0_20\summary.json
00001.png,spacing,0.5,mediapipe_tasks_face_landmarker,415,0.047422513365745544,3.5866260528564453,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\spacing\severity_0_50\summary.json
00001.png,spacing,0.8,mediapipe_tasks_face_landmarker,415,0.07587601989507675,5.738601207733154,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\spacing\severity_0_80\summary.json
00001.png,spacing,1.2,mediapipe_tasks_face_landmarker,415,0.11381402611732483,8.607903480529785,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\spacing\severity_1_20\summary.json
00001.png,caries,0.2,mediapipe_tasks_face_landmarker,415,0.0,0.0,911,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\caries\severity_0_20\summary.json
00001.png,caries,0.5,mediapipe_tasks_face_landmarker,415,0.0,0.0,1088,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\caries\severity_0_50\summary.json
00001.png,caries,0.8,mediapipe_tasks_face_landmarker,415,0.0,0.0,1177,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\caries\severity_0_80\summary.json
00001.png,caries,1.2,mediapipe_tasks_face_landmarker,415,0.0,0.0,1246,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00001\caries\severity_1_20\summary.json
00002.png,protrusion,0.2,mediapipe_tasks_face_landmarker,33,0.05326704680919647,1.9114115238189697,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\protrusion\severity_0_20\summary.json
00002.png,protrusion,0.5,mediapipe_tasks_face_landmarker,33,0.05433238297700882,1.949639916419983,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\protrusion\severity_0_50\summary.json
00002.png,protrusion,0.8,mediapipe_tasks_face_landmarker,33,0.08693180978298187,3.1194233894348145,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\protrusion\severity_0_80\summary.json
00002.png,protrusion,1.2,mediapipe_tasks_face_landmarker,33,0.1303977221250534,4.679135799407959,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\protrusion\severity_1_20\summary.json
00002.png,openbite,0.2,mediapipe_tasks_face_landmarker,33,0.026746269315481186,1.1797791719436646,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\openbite\severity_0_20\summary.json
00002.png,openbite,0.5,mediapipe_tasks_face_landmarker,33,0.027281196787953377,1.2033748626708984,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\openbite\severity_0_50\summary.json
00002.png,openbite,0.8,mediapipe_tasks_face_landmarker,33,0.043649911880493164,1.9253994226455688,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\openbite\severity_0_80\summary.json
00002.png,openbite,1.2,mediapipe_tasks_face_landmarker,33,0.06547486782073975,2.888099193572998,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\openbite\severity_1_20\summary.json
00002.png,spacing,0.2,mediapipe_tasks_face_landmarker,33,0.028053227812051773,1.9288188219070435,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\spacing\severity_0_20\summary.json
00002.png,spacing,0.5,mediapipe_tasks_face_landmarker,33,0.028614293783903122,1.9673954248428345,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\spacing\severity_0_50\summary.json
00002.png,spacing,0.8,mediapipe_tasks_face_landmarker,33,0.045782871544361115,3.1478331089019775,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\spacing\severity_0_80\summary.json
00002.png,spacing,1.2,mediapipe_tasks_face_landmarker,33,0.06867430359125137,4.721749305725098,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\spacing\severity_1_20\summary.json
00002.png,caries,0.2,mediapipe_tasks_face_landmarker,33,0.0,0.0,203,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\caries\severity_0_20\summary.json
00002.png,caries,0.5,mediapipe_tasks_face_landmarker,33,0.0,0.0,335,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\caries\severity_0_50\summary.json
00002.png,caries,0.8,mediapipe_tasks_face_landmarker,33,0.0,0.0,400,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\caries\severity_0_80\summary.json
00002.png,caries,1.2,mediapipe_tasks_face_landmarker,33,0.0,0.0,442,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00002\caries\severity_1_20\summary.json
00004.png,protrusion,0.2,mediapipe_tasks_face_landmarker,89,0.058825697749853134,1.516858696937561,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\protrusion\severity_0_20\summary.json
00004.png,protrusion,0.5,mediapipe_tasks_face_landmarker,89,0.07059083878993988,1.8202303647994995,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\protrusion\severity_0_50\summary.json
00004.png,protrusion,0.8,mediapipe_tasks_face_landmarker,89,0.11294534057378769,2.9123692512512207,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\protrusion\severity_0_80\summary.json
00004.png,protrusion,1.2,mediapipe_tasks_face_landmarker,89,0.16941803693771362,4.368553161621094,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\protrusion\severity_1_20\summary.json
00004.png,openbite,0.2,mediapipe_tasks_face_landmarker,89,0.014326522126793861,0.8172695636749268,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\openbite\severity_0_20\summary.json
00004.png,openbite,0.5,mediapipe_tasks_face_landmarker,89,0.017191825434565544,0.9807234406471252,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\openbite\severity_0_50\summary.json
00004.png,openbite,0.8,mediapipe_tasks_face_landmarker,89,0.02750691957771778,1.569157600402832,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\openbite\severity_0_80\summary.json
00004.png,openbite,1.2,mediapipe_tasks_face_landmarker,89,0.041260384023189545,2.353736162185669,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\openbite\severity_1_20\summary.json
00004.png,spacing,0.2,mediapipe_tasks_face_landmarker,89,0.02119971066713333,1.4647912979125977,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\spacing\severity_0_20\summary.json
00004.png,spacing,0.5,mediapipe_tasks_face_landmarker,89,0.025439653545618057,1.7577494382858276,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\spacing\severity_0_50\summary.json
00004.png,spacing,0.8,mediapipe_tasks_face_landmarker,89,0.04070344567298889,2.81239914894104,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\spacing\severity_0_80\summary.json
00004.png,spacing,1.2,mediapipe_tasks_face_landmarker,89,0.06105516478419304,4.21859884262085,0,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\spacing\severity_1_20\summary.json
00004.png,caries,0.2,mediapipe_tasks_face_landmarker,89,0.0,0.0,410,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\caries\severity_0_20\summary.json
00004.png,caries,0.5,mediapipe_tasks_face_landmarker,89,0.0,0.0,589,C:\Users\LIU\Downloads\卒業研究1\outputs\mouth_template_sweep\00004\caries\severity_0_50\summary.json
