case_id,disease,requested_disease,severity,detector_mode,warp_sigma,feather,control_points,mask_pixels,weight_map_mean,weight_map_max,shading_map_mean,shading_map_max,pseudo_depth_mean,pseudo_depth_max,pseudo_highlight_mean,pseudo_highlight_max,delta_abs_mean,delta_abs_max,sd_enabled,output_image,summary_path
chin_deviation_left\severity_0_50,chin_deviation_left,chin_deviation_left,0.5,mediapipe_tasks_face_landmarker,52.0,21,65,14639,0.033995624617034315,0.9019607843137255,0.004604504155177696,0.15294117647058825,0.005073397767310049,0.15294117647058825,0.0011505725337009804,0.03529411764705882,0.13168364763259888,3.6770575046539307,False,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\chin_deviation_left\severity_0_50\final_output.png,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\chin_deviation_left\severity_0_50\summary.json
chin_deviation_left\severity_0_80,chin_deviation_left,chin_deviation_left,0.8,mediapipe_tasks_face_landmarker,52.0,21,65,14639,0.033995624617034315,0.9019607843137255,0.005710616766237745,0.18823529411764706,0.006451954561121323,0.19215686274509805,0.0015303667853860295,0.043137254901960784,0.1761523187160492,4.929022312164307,False,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\chin_deviation_left\severity_0_80\final_output.png,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\chin_deviation_left\severity_0_80\summary.json
chin_deviation_left\severity_1_20,chin_deviation_left,chin_deviation_left,1.2,mediapipe_tasks_face_landmarker,52.0,21,65,14639,0.033995624617034315,0.9019607843137255,0.006448065065870098,0.21176470588235294,0.007372568167892157,0.21568627450980393,0.0017843209060968137,0.050980392156862744,0.23540610074996948,6.59823751449585,False,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\chin_deviation_left\severity_1_20\final_output.png,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\chin_deviation_left\severity_1_20\summary.json
mandibular_protrusion\severity_0_50,mandibular_protrusion,mandibular_protrusion,0.5,mediapipe_tasks_face_landmarker,52.0,21,65,14639,0.1037506103515625,0.9019607843137255,0.0017032997280943627,0.12941176470588237,0.002037497127757353,0.1411764705882353,0.000593417298560049,0.047058823529411764,0.29336386919021606,2.700650453567505,False,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\mandibular_protrusion\severity_0_50\final_output.png,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\mandibular_protrusion\severity_0_50\summary.json
mandibular_protrusion\severity_0_80,mandibular_protrusion,mandibular_protrusion,0.8,mediapipe_tasks_face_landmarker,52.0,21,65,14639,0.1037506103515625,0.9019607843137255,0.0021194757199754903,0.1607843137254902,0.0025948318780637256,0.1803921568627451,0.0007854985255821078,0.06274509803921569,0.3947335183620453,3.6054012775421143,False,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\mandibular_protrusion\severity_0_80\final_output.png,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\mandibular_protrusion\severity_0_80\summary.json
mandibular_protrusion\severity_1_20,mandibular_protrusion,mandibular_protrusion,1.2,mediapipe_tasks_face_landmarker,52.0,21,65,14639,0.1037506103515625,0.9019607843137255,0.0023999980851715686,0.1803921568627451,0.0029652913411458335,0.20392156862745098,0.0009115181717218137,0.07058823529411765,0.5298316478729248,4.811135292053223,False,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\mandibular_protrusion\severity_1_20\final_output.png,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\mandibular_protrusion\severity_1_20\summary.json
maxillary_protrusion\severity_0_50,maxillary_protrusion,maxillary_protrusion,0.5,mediapipe_tasks_face_landmarker,52.0,21,64,14404,0.01985940372242647,0.5372549019607843,0.0017438103170955882,0.09411764705882353,0.0049573711320465685,0.17647058823529413,0.001677868412990196,0.058823529411764705,0.020844461396336555,0.404829204082489,False,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\maxillary_protrusion\severity_0_50\final_output.png,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\maxillary_protrusion\severity_0_50\summary.json
maxillary_protrusion\severity_0_80,maxillary_protrusion,maxillary_protrusion,0.8,mediapipe_tasks_face_landmarker,52.0,21,64,14404,0.01985940372242647,0.5372549019607843,0.002167406269148284,0.11764705882352941,0.00628350949754902,0.2235294117647059,0.0021682440065870097,0.07450980392156863,0.027662519365549088,0.5339512825012207,False,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\maxillary_protrusion\severity_0_80\final_output.png,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\maxillary_protrusion\severity_0_80\summary.json
maxillary_protrusion\severity_1_20,maxillary_protrusion,maxillary_protrusion,1.2,mediapipe_tasks_face_landmarker,52.0,21,64,14404,0.01985940372242647,0.5372549019607843,0.002447509765625,0.13333333333333333,0.007165647020526961,0.2549019607843137,0.002495919021905637,0.08627450980392157,0.0367511510848999,0.7060611844062805,False,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\maxillary_protrusion\severity_1_20\final_output.png,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\maxillary_protrusion\severity_1_20\summary.json
occlusal_plane_cant\severity_0_50,occlusal_plane_cant,occlusal_plane_cant,0.5,mediapipe_tasks_face_landmarker,52.0,21,79,16026,0.06353490492876838,0.7725490196078432,0.001761163449754902,0.13725490196078433,0.002877029718137255,0.2,0.0010153377757352942,0.06666666666666667,0.011890600435435772,0.17723862826824188,False,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\occlusal_plane_cant\severity_0_50\final_output.png,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\occlusal_plane_cant\severity_0_50\summary.json
occlusal_plane_cant\severity_0_80,occlusal_plane_cant,occlusal_plane_cant,0.8,mediapipe_tasks_face_landmarker,52.0,21,79,16026,0.06353490492876838,0.7725490196078432,0.002181587967218137,0.16862745098039217,0.0036489449295343136,0.25098039215686274,0.0013172224456188726,0.08627450980392157,0.014955592341721058,0.21878120303153992,False,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\occlusal_plane_cant\severity_0_80\final_output.png,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\occlusal_plane_cant\severity_0_80\summary.json
occlusal_plane_cant\severity_1_20,occlusal_plane_cant,occlusal_plane_cant,1.2,mediapipe_tasks_face_landmarker,52.0,21,79,16026,0.06353490492876838,0.7725490196078432,0.002463845645680147,0.18823529411764706,0.00416253781786152,0.28627450980392155,0.001519476198682598,0.09803921568627451,0.01904728077352047,0.27436989545822144,False,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\occlusal_plane_cant\severity_1_20\final_output.png,C:\Users\LIU\Downloads\卒業研究1\outputs\pseudo3d_severity_sweep\occlusal_plane_cant\severity_1_20\summary.json
